id_cliente,idade,sexo,estado_civil,escolaridade,estado,renda_mensal,comprometimento_renda,score_bureau_entrada,segmento,canal_aquisicao,data_cadastro,flag_fraude
81,51,M,Divorciado,Superior,SP,3499.79,0.464,337,Standard,App,2020-04-08,False
82,40,F,Divorciado,Médio,RS,2009.62,0.326,567,Standard,App,2024-06-06,False
83,38,F,Casado,Superior,Outros,7523.54,0.292,593,Plus,Parceiro,2022-05-31,False
84,64,M,Divorciado,Médio,RJ,3180.05,0.179,671,Standard,App,2018-01-19,False
85,34,M,Casado,Fundamental,PR,1410.2,0.393,709,Standard,App,2021-08-14,False
86,53,F,Casado,Fundamental,RJ,1300.81,0.219,545,Standard,App,2020-02-12,False
87,46,M,Solteiro,Superior,Outros,5857.17,0.347,578,Standard,Parceiro,2018-03-12,False
88,39,F,Viúvo,Médio,SP,2281.62,0.371,642,Standard,App,2021-11-11,False
89,43,M,Casado,Médio,RJ,1608.02,0.399,525,Standard,App,2019-12-29,False
90,22,M,Solteiro,Médio,MG,2371.06,0.401,522,Standard,Parceiro,2025-02-23,False
91,58,F,Solteiro,Médio,BA,3318.18,0.396,727,Standard,App,2021-08-27,False
92,21,M,Divorciado,Superior,BA,5031.39,0.129,778,Plus,Indicação,2020-01-06,False
93,22,F,Divorciado,Médio,BA,1381.08,0.177,710,Standard,App,2026-02-24,False
94,32,F,Casado,Médio,BA,4591.25,0.115,573,Standard,Indicação,2021-07-14,False
95,48,F,Viúvo,Médio,RJ,800.0,0.107,252,Standard,App,2019-09-06,False
96,35,F,Solteiro,Superior,SP,4399.83,0.463,574,Standard,App,2021-05-27,False
97,68,F,Viúvo,Médio,CE,2053.45,0.162,460,Standard,App,2025-11-25,False
98,70,F,Casado,Fundamental,SP,1938.43,0.145,547,Standard,Parceiro,2020-12-25,False
99,40,F,Casado,Fundamental,SP,2383.61,0.273,476,Standard,App,2020-12-27,False
100,74,F,Divorciado,Pós-graduação,SP,16687.74,0.19,739,Premium,Parceiro,2021-02-23,False
101,23,F,Divorciado,Pós-graduação,MG,6653.14,0.551,476,Standard,Indicação,2020-05-02,False
102,26,M,Solteiro,Superior,RJ,7374.58,0.247,451,Standard,Parceiro,2019-08-26,False
103,37,M,Divorciado,Médio,PR,3088.02,0.333,750,Standard,Indicação,2021-09-05,False
104,71,M,Casado,Pós-graduação,RS,4037.08,0.186,454,Standard,App,2025-01-29,False
105,46,M,Solteiro,Superior,SP,14225.25,0.081,712,Premium,Indicação,2023-01-30,False
106,58,M,Casado,Superior,SP,2678.78,0.193,707,Standard,App,2019-02-18,True
107,55,M,Casado,Médio,GO,3453.43,0.194,711,Standard,Web,2020-11-16,False
108,46,M,Casado,Médio,SC,3402.8,0.193,694,Standard,Web,2018-01-25,False
109,71,F,Casado,Fundamental,CE,2065.98,0.088,609,Standard,App,2020-06-16,False
110,72,F,Solteiro,Pós-graduação,SP,7418.7,0.296,732,Plus,Web,2022-03-30,False
111,43,M,Solteiro,Médio,GO,4234.42,0.24,785,Plus,App,2020-05-18,False
112,58,F,Casado,Médio,CE,1283.3,0.095,617,Standard,Indicação,2024-05-27,False
113,53,F,Solteiro,Médio,RJ,2709.34,0.293,317,Standard,Parceiro,2021-03-22,False
114,51,F,Casado,Médio,PR,2112.1,0.371,493,Standard,App,2022-03-29,False
115,23,M,Casado,Médio,SP,1995.65,0.424,663,Standard,App,2024-12-12,False
116,29,M,Solteiro,Superior,PR,6814.97,0.05,536,Standard,Parceiro,2022-05-31,False
117,74,M,Solteiro,Superior,SC,9426.15,0.192,882,Premium,App,2025-02-12,False
118,31,F,Solteiro,Superior,MG,4632.61,0.116,588,Plus,App,2023-12-29,False
119,55,F,Divorciado,Médio,SP,4136.95,0.202,603,Plus,Parceiro,2021-08-17,False
120,69,F,Viúvo,Superior,RJ,5638.5,0.447,767,Plus,App,2020-05-30,False
121,52,F,Solteiro,Médio,BA,1791.86,0.193,538,Standard,App,2020-05-31,False
122,30,F,Solteiro,Superior,PR,4834.47,0.223,624,Plus,Web,2024-11-03,False
123,67,F,Casado,Fundamental,MG,1549.67,0.181,686,Standard,Indicação,2018-09-06,False
124,19,F,Casado,Médio,Outros,1976.42,0.475,359,Standard,Indicação,2025-09-04,False
125,59,F,Casado,Fundamental,SP,2230.06,0.05,528,Standard,App,2020-07-18,False
126,33,M,Casado,Médio,SP,3148.55,0.213,695,Standard,PDV,2023-02-13,False
127,54,F,Casado,Médio,SP,1264.02,0.176,566,Standard,App,2020-07-23,False
128,45,M,Solteiro,Fundamental,SC,800.0,0.073,757,Standard,App,2025-10-28,False
129,50,M,Divorciado,Fundamental,SC,2225.83,0.412,348,Standard,App,2018-06-18,False
130,39,NB,Casado,Médio,SC,1862.61,0.064,327,Standard,Indicação,2020-08-30,False
131,48,M,Solteiro,Médio,CE,3256.46,0.225,688,Standard,App,2024-09-28,False
132,71,M,Divorciado,Pós-graduação,RJ,14037.85,0.271,831,Premium,App,2020-04-22,False
133,65,F,Solteiro,Médio,SP,1483.11,0.19,532,Standard,App,2020-04-24,False
134,41,M,Solteiro,Médio,RS,1382.44,0.072,614,Standard,Indicação,2025-02-19,False
135,71,M,Solteiro,Médio,RJ,6467.8,0.26,724,Plus,App,2024-04-11,False
136,68,M,Casado,Fundamental,MG,2145.93,0.189,453,Standard,Indicação,2019-03-18,False
137,53,F,Casado,Pós-graduação,SP,7703.47,0.377,535,Standard,App,2021-09-07,False
138,51,M,Casado,Médio,RJ,1755.32,0.342,589,Standard,App,2020-01-29,False
139,20,M,Solteiro,Superior,RJ,4261.1,0.513,719,Plus,App,2020-01-16,False
140,47,F,Solteiro,Fundamental,SP,992.53,0.293,390,Standard,Web,2021-11-04,False
141,30,M,Solteiro,Médio,Outros,4355.0,0.351,566,Standard,Indicação,2019-05-09,False
142,27,F,Casado,Médio,SP,1898.84,0.237,530,Standard,App,2021-03-10,False
143,66,M,Solteiro,Pós-graduação,GO,16412.76,0.485,797,Private,App,2020-03-23,False
144,33,M,Casado,Médio,SP,2291.73,0.281,568,Standard,App,2024-07-27,False
145,53,F,Casado,Médio,CE,1661.87,0.268,485,Standard,App,2021-07-27,False
146,67,M,Casado,Médio,MG,2262.5,0.345,744,Standard,Indicação,2020-01-16,False
147,52,M,Casado,Médio,SP,800.0,0.203,476,Standard,App,2025-06-27,False
148,62,M,Casado,Médio,SP,2635.93,0.22,532,Standard,Web,2024-03-06,True
149,62,M,Solteiro,Médio,RJ,2571.68,0.345,350,Standard,App,2020-04-07,False
150,43,M,Casado,Fundamental,SC,2718.71,0.368,474,Standard,App,2025-12-03,False
151,70,M,Solteiro,Superior,SP,2141.69,0.352,640,Standard,App,2020-04-11,False
152,69,M,Casado,Superior,SP,9832.38,0.27,704,Premium,App,2020-05-22,False
153,37,M,Casado,Fundamental,PR,2713.08,0.312,658,Standard,Parceiro,2020-10-23,False
154,64,M,Casado,Médio,RS,5236.44,0.395,682,Plus,App,2019-09-04,False
155,28,F,Divorciado,Fundamental,RJ,1753.17,0.149,855,Standard,Parceiro,2022-06-19,False
156,24,M,Solteiro,Superior,SP,9131.19,0.28,546,Standard,App,2021-08-01,False
157,48,F,Solteiro,Médio,MG,1341.78,0.05,331,Standard,App,2025-01-30,False
158,52,F,Divorciado,Superior,SP,7855.96,0.369,489,Standard,App,2020-02-27,False
159,51,M,Solteiro,Superior,RS,3740.3,0.186,488,Standard,App,2019-09-20,False
160,63,M,Casado,Superior,SP,2408.6,0.189,434,Standard,App,2020-09-08,False
161,40,M,Solteiro,Fundamental,Outros,1026.05,0.265,567,Standard,App,2019-07-12,False
162,64,F,Casado,Pós-graduação,RS,9526.31,0.354,831,Premium,PDV,2025-09-25,False
163,69,M,Casado,Médio,MG,1854.23,0.567,779,Standard,Indicação,2022-11-07,False
164,23,M,Divorciado,Fundamental,PE,2172.38,0.094,638,Standard,App,2023-11-04,False
165,43,F,Casado,Médio,Outros,1133.72,0.178,855,Standard,Parceiro,2023-03-28,False
166,30,F,Casado,Médio,SC,966.64,0.307,503,Standard,App,2020-03-01,False
167,55,M,Casado,Superior,RS,10923.78,0.193,444,Standard,Parceiro,2019-06-26,False
168,41,F,Divorciado,Superior,CE,8642.12,0.38,793,Premium,Web,2021-01-02,False
169,34,M,Solteiro,Médio,SP,1656.94,0.26,304,Standard,App,2024-04-04,False
170,32,M,Casado,Pós-graduação,SC,9485.76,0.386,550,Standard,Web,2020-07-23,False
171,38,M,Solteiro,Médio,PR,4661.67,0.25,670,Plus,App,2018-02-14,False
172,24,F,Solteiro,Médio,MG,3452.92,0.345,569,Standard,App,2022-02-15,False
173,23,M,Casado,Médio,CE,3015.4,0.165,551,Standard,Indicação,2019-12-15,False
174,53,F,Divorciado,Pós-graduação,PR,16426.06,0.512,573,Standard,Indicação,2021-07-08,False
175,71,F,Divorciado,Médio,BA,1943.06,0.076,563,Standard,App,2018-03-10,False
176,46,M,Casado,Fundamental,GO,1828.28,0.195,704,Standard,App,2021-05-13,False
177,70,M,Solteiro,Médio,PR,2775.12,0.11,578,Standard,App,2020-11-04,False
178,26,M,Solteiro,Pós-graduação,SP,8288.85,0.376,525,Standard,App,2024-11-26,False
179,73,F,Solteiro,Superior,SP,4526.03,0.345,421,Standard,App,2022-11-27,False
180,51,M,Solteiro,Superior,MG,5704.08,0.134,497,Standard,App,2018-06-16,False
181,60,F,Casado,Superior,SP,5595.44,0.4,664,Plus,Web,2023-10-05,False
182,21,M,Casado,Superior,PR,3256.11,0.196,629,Standard,Parceiro,2023-10-13,False
183,52,F,Solteiro,Médio,PE,4180.86,0.326,480,Standard,PDV,2022-03-03,False
184,39,F,Solteiro,Médio,SP,1718.46,0.355,253,Standard,App,2025-07-10,False
185,69,F,Solteiro,Superior,GO,4931.44,0.251,660,Plus,App,2023-12-07,False
186,63,M,Casado,Superior,BA,4745.08,0.389,473,Standard,App,2020-01-22,False
187,67,M,Solteiro,Médio,Outros,3349.03,0.263,678,Standard,Indicação,2020-10-15,False
188,68,M,Solteiro,Fundamental,SP,800.0,0.321,445,Standard,Indicação,2020-08-24,False
189,59,M,Casado,Superior,RJ,8586.6,0.247,506,Standard,App,2021-05-06,False
190,31,F,Solteiro,Médio,RS,1995.96,0.056,587,Standard,Parceiro,2025-10-30,False
191,34,M,Solteiro,Pós-graduação,SC,17483.78,0.265,1000,Private,App,2021-11-05,False
192,66,M,Divorciado,Médio,GO,2204.58,0.175,673,Standard,App,2020-06-25,False
193,52,M,Solteiro,Fundamental,GO,1756.57,0.447,582,Standard,App,2025-09-04,False
194,68,M,Solteiro,Superior,SP,14319.77,0.116,764,Premium,App,2022-08-19,False
195,63,F,Solteiro,Médio,RJ,2437.44,0.427,326,Standard,App,2020-04-08,False
196,52,F,Solteiro,Médio,BA,5202.01,0.259,447,Standard,PDV,2025-03-27,False
197,26,M,Divorciado,Médio,SP,2855.2,0.329,224,Standard,Indicação,2020-08-15,False
198,73,M,Casado,Superior,Outros,6769.7,0.114,865,Plus,App,2021-05-25,False
199,31,F,Casado,Médio,BA,2899.68,0.243,790,Standard,App,2021-03-25,False
200,32,F,Casado,Médio,PE,4278.26,0.2,648,Plus,App,2025-06-14,False
201,26,F,Solteiro,Superior,GO,3903.92,0.532,607,Standard,Web,2020-04-08,False
202,21,F,Casado,Pós-graduação,SP,5808.18,0.197,394,Standard,Parceiro,2020-07-28,False
203,39,F,Solteiro,Médio,RJ,2034.67,0.418,535,Standard,App,2022-02-16,False
204,66,F,Divorciado,Fundamental,PR,1892.01,0.42,815,Standard,Web,2024-12-25,False
205,67,F,Casado,Fundamental,PE,1611.84,0.417,579,Standard,App,2019-04-13,False
206,45,F,Solteiro,Médio,BA,3993.85,0.209,510,Standard,Parceiro,2020-01-07,False
207,35,F,Casado,Fundamental,SP,3456.14,0.497,337,Standard,App,2025-10-04,False
208,37,F,Solteiro,Superior,RS,3376.46,0.521,775,Standard,Parceiro,2023-08-09,False
209,70,M,Solteiro,Fundamental,SP,1247.09,0.324,547,Standard,Web,2020-08-18,False
210,21,M,Solteiro,Médio,RJ,1365.47,0.224,312,Standard,App,2020-09-06,False
211,21,F,Solteiro,Superior,Outros,15179.33,0.177,594,Plus,App,2021-03-09,False
212,21,F,Solteiro,Médio,SP,3260.74,0.337,402,Standard,App,2022-04-19,False
213,68,M,Divorciado,Médio,SP,3559.15,0.288,566,Standard,App,2021-08-07,False
214,23,M,Solteiro,Superior,RJ,2814.1,0.302,604,Standard,App,2023-08-04,False
215,71,M,Solteiro,Superior,CE,5496.78,0.118,537,Standard,App,2018-09-07,False
216,28,M,Solteiro,Superior,SP,7094.87,0.284,736,Plus,App,2024-02-18,False
217,49,F,Solteiro,Fundamental,SP,1586.31,0.417,572,Standard,App,2018-09-25,False
218,73,M,Solteiro,Fundamental,RJ,3082.19,0.378,727,Standard,Web,2024-11-29,False
219,24,M,Solteiro,Pós-graduação,RS,30180.84,0.23,854,Private,App,2018-07-19,False
220,34,M,Solteiro,Médio,SP,1743.84,0.267,989,Standard,App,2019-05-21,False
221,59,M,Solteiro,Médio,SC,1679.63,0.104,483,Standard,App,2019-10-18,False
222,64,M,Solteiro,Médio,PE,1805.33,0.2,437,Standard,PDV,2020-01-29,False
223,69,M,Casado,Superior,MG,12278.47,0.239,545,Standard,App,2020-11-18,False
224,19,F,Viúvo,Pós-graduação,SP,15998.09,0.356,704,Premium,App,2022-01-25,False
225,62,M,Solteiro,Médio,MG,2616.55,0.195,332,Standard,App,2025-01-22,False
226,36,F,Casado,Pós-graduação,SP,9675.26,0.156,699,Premium,App,2021-06-08,False
227,49,F,Casado,Fundamental,RJ,1196.64,0.371,289,Standard,Web,2021-06-21,False
228,69,M,Casado,Médio,BA,4369.43,0.229,617,Plus,App,2020-07-05,False
229,69,M,Casado,Superior,SP,4548.5,0.179,407,Standard,App,2023-11-25,False
230,28,M,Casado,Fundamental,SP,1580.51,0.377,507,Standard,App,2019-04-01,False
231,44,M,Divorciado,Fundamental,SP,2440.45,0.335,656,Standard,App,2020-06-05,False
232,34,F,Solteiro,Médio,SP,2548.8,0.255,895,Standard,App,2019-02-21,False
233,53,F,Casado,Pós-graduação,SP,8446.98,0.238,492,Standard,App,2020-01-14,False
234,65,F,Casado,Médio,RJ,2814.84,0.326,554,Standard,Indicação,2021-09-18,False
235,36,F,Divorciado,Pós-graduação,SC,14139.46,0.345,610,Plus,App,2019-05-15,False
236,24,F,Casado,Superior,SP,12528.36,0.305,570,Standard,App,2019-03-03,False
237,21,F,Viúvo,Médio,RJ,3752.28,0.294,487,Standard,Indicação,2024-03-20,False
238,21,M,Casado,Superior,Outros,8218.64,0.207,756,Premium,Indicação,2019-04-23,False
239,38,M,Casado,Fundamental,MG,1628.83,0.214,493,Standard,App,2021-10-23,False
240,73,M,Divorciado,Fundamental,PE,1263.5,0.259,872,Standard,Parceiro,2020-08-28,False
241,32,M,Casado,Superior,MG,7627.36,0.165,691,Plus,Parceiro,2025-02-08,False
242,41,F,Casado,Superior,SP,5991.66,0.151,472,Standard,Web,2022-09-22,False
243,56,M,Casado,Médio,SP,1374.8,0.269,507,Standard,App,2018-10-01,False
244,55,F,Solteiro,Médio,BA,2376.39,0.399,458,Standard,Web,2025-02-04,False
245,33,M,Viúvo,Superior,CE,5276.69,0.05,717,Plus,Indicação,2020-12-08,False
246,25,F,Divorciado,Superior,RJ,4261.07,0.233,363,Standard,Indicação,2020-05-31,False
247,26,M,Casado,Superior,MG,11537.65,0.313,492,Standard,Indicação,2022-04-15,False
248,30,M,Solteiro,Médio,RJ,3559.21,0.409,501,Standard,App,2022-11-09,False
249,22,F,Solteiro,Médio,SP,5563.39,0.496,704,Plus,Indicação,2020-06-09,False
250,44,M,Solteiro,Médio,SP,3194.19,0.249,753,Standard,Parceiro,2020-08-27,False
251,54,F,Solteiro,Superior,Outros,5728.43,0.517,804,Plus,PDV,2019-08-11,False
252,56,F,Casado,Superior,SP,3443.36,0.335,657,Standard,App,2021-09-29,False
253,69,M,Divorciado,Médio,SP,2816.75,0.378,564,Standard,PDV,2025-11-14,False
254,34,M,Casado,Médio,PR,2818.34,0.152,687,Standard,App,2020-12-12,False
255,55,M,Solteiro,Médio,RJ,1413.49,0.334,398,Standard,Web,2026-05-14,False
256,68,M,Viúvo,Superior,Outros,4199.58,0.388,334,Standard,Indicação,2019-10-07,False
257,19,F,Divorciado,Superior,SP,4679.1,0.197,659,Plus,Indicação,2023-11-04,False
258,62,F,Casado,Fundamental,CE,2213.39,0.05,427,Standard,Indicação,2025-07-04,False
259,23,M,Solteiro,Fundamental,SP,2267.01,0.298,560,Standard,PDV,2022-06-24,False
260,49,F,Casado,Médio,SP,2093.76,0.254,583,Standard,App,2019-03-28,False
261,65,F,Casado,Fundamental,MG,2275.55,0.441,604,Standard,App,2020-07-17,False
262,44,M,Solteiro,Superior,CE,5021.4,0.215,733,Plus,Parceiro,2019-01-19,False
263,49,M,Casado,Médio,RJ,800.0,0.195,668,Standard,App,2021-10-13,False
264,53,F,Casado,Fundamental,SP,1412.61,0.139,586,Standard,Indicação,2026-05-23,False
265,50,F,Solteiro,Pós-graduação,RJ,16293.82,0.204,675,Plus,App,2020-10-04,False
266,59,M,Divorciado,Médio,SP,1207.7,0.6,571,Standard,Parceiro,2019-08-30,False
267,66,M,Divorciado,Médio,PE,2962.3,0.09,494,Standard,Web,2020-04-13,False
268,25,M,Casado,Médio,GO,6185.76,0.12,588,Plus,App,2021-08-23,False
269,41,F,Solteiro,Fundamental,PR,1230.57,0.273,923,Standard,Indicação,2021-08-20,False
270,66,F,Solteiro,Fundamental,RJ,1801.94,0.517,589,Standard,App,2020-02-09,False
271,39,M,Casado,Fundamental,RS,937.8,0.369,616,Standard,Indicação,2023-04-09,False
272,45,F,Divorciado,Médio,MG,6316.94,0.466,519,Standard,App,2019-01-26,False
273,60,M,Casado,Fundamental,SP,1726.54,0.234,705,Standard,App,2021-11-17,False
274,71,F,Solteiro,Médio,RJ,2866.04,0.113,682,Standard,App,2020-12-27,False
275,32,F,Solteiro,Superior,PR,10825.43,0.226,779,Premium,App,2019-05-19,False
276,72,M,Solteiro,Médio,PE,3897.59,0.265,618,Standard,Indicação,2021-12-06,False
277,58,M,Casado,Médio,RJ,1807.25,0.281,708,Standard,App,2022-04-16,False
278,19,M,Casado,Médio,PE,2025.83,0.254,744,Standard,Web,2021-01-20,False
279,67,F,Solteiro,Superior,BA,7044.26,0.351,666,Plus,Parceiro,2023-11-13,False
280,39,F,Casado,Superior,Outros,4025.65,0.195,574,Standard,Indicação,2021-05-14,False
281,34,M,Divorciado,Fundamental,Outros,800.0,0.169,676,Standard,Parceiro,2020-05-11,False
282,47,F,Casado,Médio,SP,2726.45,0.135,448,Standard,PDV,2025-10-30,False
283,50,F,Solteiro,Médio,RJ,1335.78,0.305,457,Standard,Parceiro,2025-09-16,False
284,48,M,Casado,Médio,SC,6282.45,0.293,610,Plus,Indicação,2019-02-17,False
285,21,M,Divorciado,Médio,PE,3058.77,0.411,335,Standard,App,2025-09-25,False
286,64,F,Solteiro,Médio,SP,1780.75,0.466,679,Standard,Parceiro,2023-08-01,False
287,37,M,Solteiro,Fundamental,RS,1269.31,0.135,422,Standard,Indicação,2019-03-20,False
288,26,F,Casado,Médio,GO,1088.63,0.283,489,Standard,App,2021-05-30,False
289,50,F,Solteiro,Médio,SP,1615.89,0.255,531,Standard,App,2018-06-11,False
290,53,M,Divorciado,Fundamental,SP,2992.02,0.096,583,Standard,App,2021-09-22,False
291,23,M,Casado,Superior,RJ,16787.61,0.217,695,Premium,Parceiro,2025-07-28,False
292,71,M,Solteiro,Fundamental,RJ,2588.26,0.468,563,Standard,Parceiro,2020-09-24,False
293,52,M,Divorciado,Pós-graduação,MG,9072.71,0.204,642,Plus,App,2021-05-13,False
294,74,M,Casado,Fundamental,SP,1450.35,0.184,496,Standard,App,2020-02-05,False
295,56,F,Casado,Superior,SC,3409.28,0.274,474,Standard,PDV,2021-07-05,False
296,18,F,Solteiro,Pós-graduação,SP,26607.01,0.389,1000,Private,App,2023-12-04,False
297,29,F,Casado,Pós-graduação,PE,8644.45,0.243,351,Standard,Indicação,2020-01-16,False
298,73,M,Divorciado,Superior,SP,15840.39,0.295,703,Premium,App,2021-07-25,False
