id_contrato,id_cliente,tipo_produto,valor_contratado,prazo_meses,taxa_juros_am,score_decisao,data_contratacao,status_contrato,dias_atraso,flag_renegociado
25,4466,CC,1139.02,10,0.0341,495,2022-12-14,ATRASO_1_30,15,False
26,3372,CC,2387.01,11,0.0173,633,2024-03-09,ATRASO_1_30,2,False
27,1169,EP,5440.28,26,0.029,642,2022-03-30,ATRASO_1_30,13,False
28,1814,CS,6240.03,66,0.0282,703,2022-01-29,ATRASO_1_30,30,False
29,117,EP,11343.74,26,0.009,802,2025-09-06,ATRASO_1_30,13,True
30,3855,CC,4052.0,12,0.0116,767,2023-08-08,ATRASO_1_30,7,True
31,36,CG,35041.47,15,0.0129,672,2025-03-03,ATRASO_1_30,6,False
32,632,CC,2903.39,15,0.0191,555,2024-12-03,ATRASO_1_30,9,False
33,4864,CC,4001.29,12,0.0218,686,2019-12-13,ATRASO_1_30,4,False
34,803,CC,2262.88,15,0.0089,995,2019-01-30,ATRASO_1_30,2,True
35,1423,EP,1727.86,30,0.0305,747,2024-06-19,ATRASO_1_30,3,False
36,2046,CS,24600.41,61,0.0252,536,2020-05-31,ATRASO_31_90,32,False
37,689,FV,32674.27,42,0.008,871,2022-03-06,ATRASO_1_30,9,False
38,3279,EP,9408.27,22,0.0347,459,2022-12-28,ATRASO_1_30,28,False
39,1555,CC,3880.56,12,0.0139,762,2019-08-03,ATRASO_1_30,22,True
40,1489,CC,1472.53,11,0.0383,593,2022-07-23,ATRASO_1_30,6,False
41,2868,CG,33110.14,9,0.034,582,2022-03-16,ATRASO_1_30,3,False
42,1617,CC,3472.11,9,0.0268,662,2021-08-19,ATRASO_1_30,11,False
43,1089,FV,31057.52,43,0.0242,440,2019-10-20,QUITADO,0,False
44,4309,CG,25313.36,10,0.0252,591,2021-02-02,ATRASO_1_30,5,False
45,2901,EP,9825.56,14,0.0282,734,2025-03-08,ATRASO_1_30,11,True
46,4500,CS,16885.73,70,0.008,987,2024-05-26,ATRASO_1_30,5,False
47,1791,FV,27852.91,57,0.0122,540,2020-06-28,ATRASO_1_30,3,True
48,4563,EP,14598.73,26,0.0348,705,2023-12-28,ATRASO_1_30,2,True
49,4444,CD,2065.14,3,0.0185,785,2018-03-30,ATRASO_1_30,18,False
50,110,CS,15132.42,57,0.0229,758,2019-11-29,ATIVO,0,True
51,631,CC,2593.71,13,0.0204,734,2024-06-10,ATRASO_1_30,3,False
52,3993,FV,31611.19,59,0.0254,651,2025-06-14,ATRASO_1_30,25,False
53,1480,CC,5770.32,17,0.0449,417,2025-01-03,ATRASO_1_30,8,False
54,3810,EP,3352.99,24,0.019,740,2026-03-03,ATRASO_1_30,8,False
55,2169,CG,21788.63,12,0.0215,688,2025-06-18,ATIVO,0,False
56,1291,FV,27403.78,52,0.0469,638,2022-03-23,ATRASO_1_30,4,True
57,1094,CC,3457.8,10,0.0082,728,2024-10-18,ATIVO,0,False
58,1134,CG,47158.61,10,0.0324,519,2024-04-20,ATRASO_1_30,1,False
59,3320,CC,4787.46,14,0.0278,633,2018-11-07,ATRASO_1_30,1,True
60,175,EP,9247.83,27,0.0337,563,2023-11-26,ATRASO_1_30,3,False
61,945,EP,8100.82,23,0.0391,726,2020-04-24,ATRASO_1_30,9,False
62,4111,CG,41719.04,8,0.0332,454,2018-10-08,ATRASO_1_30,9,False
63,1597,CC,5713.33,6,0.0217,525,2018-09-20,ATRASO_1_30,9,True
64,3038,CC,7191.23,11,0.0338,525,2024-09-15,ATRASO_1_30,2,False
65,1498,CC,2930.29,11,0.0325,547,2020-03-02,QUITADO,0,True
66,80,FV,44209.53,45,0.0403,579,2019-12-24,ATIVO,0,True
67,2240,CC,2998.66,14,0.0291,681,2024-03-04,ATRASO_1_30,5,False
68,1127,CG,24197.28,12,0.0323,486,2019-07-20,ATRASO_1_30,4,False
69,3682,CC,1287.21,7,0.0274,547,2025-05-05,ATRASO_1_30,13,False
70,4154,EP,16199.83,33,0.0402,393,2018-02-17,ATRASO_1_30,1,True
71,4410,CD,2423.67,2,0.038,451,2026-03-15,QUITADO,0,False
72,3011,EP,10184.74,21,0.008,841,2020-04-24,ATRASO_1_30,11,False
73,404,CG,91009.78,9,0.0221,435,2024-07-13,ATRASO_1_30,19,False
74,4279,CS,7421.53,65,0.0306,625,2020-12-19,ATRASO_1_30,13,False
75,4224,CS,20476.99,44,0.0267,450,2020-10-14,QUITADO,0,True
76,734,EP,9860.43,27,0.0082,782,2021-04-12,ATRASO_1_30,3,False
77,2039,EP,6177.5,22,0.0304,595,2019-05-17,QUITADO,0,True
78,4763,EP,2007.43,27,0.0132,661,2022-04-15,ATIVO,0,False
79,4037,CC,1484.12,6,0.0304,530,2023-05-17,ATRASO_1_30,7,True
80,1038,CS,33673.62,57,0.035,581,2022-02-26,QUITADO,0,False
81,3137,CC,9621.24,13,0.0178,625,2024-04-07,ATRASO_1_30,9,False
82,1518,EP,3416.54,18,0.0206,780,2021-03-29,ATRASO_1_30,10,False
83,4342,EP,2414.17,25,0.0466,317,2021-06-28,ATRASO_31_90,36,False
84,4631,CC,7648.83,12,0.0219,525,2023-03-04,ATRASO_1_30,16,False
85,3913,EP,7620.54,25,0.0327,728,2021-04-26,QUITADO,0,False
86,1565,CS,7788.54,55,0.0108,863,2025-02-09,ATRASO_1_30,3,False
87,1972,EP,3815.68,27,0.0134,882,2019-12-27,ATIVO,0,False
88,2976,CC,1661.24,12,0.0159,656,2018-06-25,ATRASO_1_30,2,False
89,4740,CS,26249.42,63,0.0293,394,2023-01-08,ATRASO_1_30,17,False
90,1721,FV,40647.28,42,0.0398,549,2022-02-03,ATRASO_1_30,16,False
91,2778,CG,17058.23,9,0.0378,648,2023-01-02,QUITADO,0,True
92,3699,CS,7874.75,65,0.0338,629,2018-03-04,ATRASO_1_30,6,False
93,1862,EP,20676.63,20,0.0121,747,2026-01-14,QUITADO,0,True
94,1557,EP,9586.4,30,0.008,800,2022-02-15,ATRASO_1_30,3,False
95,1955,CG,21624.75,16,0.0127,577,2020-10-05,ATRASO_31_90,41,False
96,2207,FV,23701.06,41,0.0298,566,2018-06-09,ATRASO_1_30,14,True
97,467,CG,46819.9,10,0.0182,464,2019-02-14,ATRASO_1_30,6,False
98,419,EP,14141.58,26,0.0332,406,2020-03-07,ATRASO_1_30,7,True
99,3496,CD,1413.91,6,0.022,764,2022-09-03,ATRASO_1_30,3,False
100,4605,CD,3427.49,5,0.025,502,2020-07-18,ATRASO_1_30,22,False
101,4029,EP,9364.78,26,0.0319,493,2023-03-26,ATRASO_1_30,17,True
102,4531,EP,2022.85,27,0.0248,562,2021-05-29,ATRASO_1_30,1,False
103,4191,CC,4824.33,10,0.0488,273,2025-03-14,QUITADO,0,False
104,4021,CC,3137.15,9,0.0264,632,2026-05-02,ATRASO_1_30,26,False
105,292,EP,5906.73,15,0.0232,556,2025-02-27,ATRASO_1_30,22,False
106,4366,EP,10135.54,15,0.0189,499,2024-04-05,ATRASO_1_30,3,False
107,2237,CG,43068.67,9,0.0497,448,2025-06-29,ATRASO_1_30,7,False
108,3014,EP,9026.61,22,0.026,469,2025-03-06,ATRASO_1_30,13,True
109,4449,CG,36524.99,13,0.0254,502,2019-07-05,QUITADO,0,False
110,428,EP,5706.68,26,0.0394,596,2025-09-05,ATRASO_1_30,6,False
111,1269,CS,23317.97,65,0.0267,592,2023-09-28,ATIVO,0,False
112,353,EP,8567.25,23,0.036,596,2020-06-13,ATRASO_31_90,48,True
113,2099,EP,10228.37,34,0.0231,647,2025-08-18,ATRASO_1_30,9,False
114,3931,CS,8484.69,45,0.0237,709,2018-08-07,ATRASO_1_30,4,False
115,2460,EP,15148.72,22,0.0351,508,2019-03-04,ATRASO_1_30,2,False
116,2586,CC,3960.19,12,0.0238,628,2020-01-15,ATRASO_1_30,6,False
117,1172,CC,2857.84,9,0.0293,387,2019-12-11,ATRASO_1_30,25,False
118,1386,FV,74837.65,45,0.026,511,2025-12-16,ATIVO,0,False
119,2788,FV,28571.79,34,0.0145,527,2021-02-12,ATRASO_1_30,22,False
120,188,EP,8915.87,22,0.0399,431,2024-02-25,ATIVO,0,True
121,2219,CD,729.02,7,0.0176,641,2018-08-17,ATRASO_1_30,2,False
122,4921,EP,5496.27,24,0.0265,415,2023-01-25,ATRASO_1_30,20,False
123,2851,CS,19122.53,83,0.038,501,2020-08-10,ATRASO_1_30,11,False
124,484,CS,11641.82,77,0.0312,541,2026-03-15,ATRASO_1_30,3,False
125,2096,EP,8454.86,16,0.035,598,2026-01-20,ATIVO,0,False
126,1822,FV,33162.97,36,0.0159,481,2021-08-21,ATRASO_31_90,35,False
127,3499,CC,3398.77,15,0.0182,749,2024-03-08,ATRASO_1_30,3,False
128,3402,FV,25309.49,47,0.0248,515,2024-10-11,ATRASO_1_30,3,False
129,4895,CS,9047.49,42,0.0393,479,2018-12-31,ATRASO_1_30,3,False
130,3116,CC,2934.0,14,0.0245,680,2022-05-27,QUITADO,0,False
131,1183,CS,10083.44,78,0.0425,518,2025-02-14,ATRASO_1_30,22,False
132,632,EP,10557.28,31,0.0433,580,2025-01-08,QUITADO,0,False
133,789,FV,45275.81,52,0.0356,529,2022-09-03,ATIVO,0,False
134,3103,CC,7716.51,14,0.0282,659,2025-03-29,ATRASO_1_30,5,False
135,2987,CG,75760.72,13,0.0222,439,2018-10-18,ATRASO_1_30,25,False
136,1683,CG,29382.79,9,0.0272,616,2018-12-12,ATIVO,0,False
137,3685,EP,5352.28,29,0.0456,551,2025-04-16,ATRASO_1_30,9,False
138,854,CS,20972.54,57,0.03,762,2021-07-30,ATRASO_1_30,5,False
139,3573,FV,52008.57,65,0.0294,448,2022-02-06,ATRASO_1_30,9,False
140,3086,CS,22385.04,55,0.0227,644,2020-12-31,ATRASO_1_30,3,False
141,878,EP,7980.78,22,0.0383,658,2026-05-25,ATRASO_1_30,3,False
142,4503,CS,10267.84,47,0.0245,442,2023-06-25,ATRASO_1_30,18,False
143,4347,EP,9825.1,27,0.0127,1000,2022-10-23,ATIVO,0,False
144,3758,CG,21922.73,16,0.0181,669,2021-05-18,ATRASO_31_90,39,False
145,3324,CC,3108.49,13,0.0246,553,2018-05-23,ATRASO_1_30,7,True
146,813,EP,25919.03,24,0.0327,631,2024-06-01,ATRASO_1_30,21,True
147,4837,CS,9844.02,54,0.0329,550,2018-06-11,ATRASO_1_30,2,False
148,871,CC,3467.43,10,0.0184,698,2021-03-24,ATRASO_1_30,16,False
149,4034,EP,7081.92,29,0.0356,550,2021-03-03,ATRASO_1_30,24,False
150,2347,FV,86231.06,41,0.0467,288,2021-01-23,QUITADO,0,False
151,3346,CC,1719.41,7,0.0218,857,2018-12-11,QUITADO,0,True
152,106,EP,11991.65,38,0.0234,709,2020-03-21,ATRASO_1_30,3,False
153,1584,FV,27536.98,50,0.0403,536,2020-12-23,QUITADO,0,False
154,104,CC,2369.85,11,0.0263,515,2022-01-12,ATIVO,0,False
155,3641,EP,2926.67,20,0.0184,803,2022-10-04,ATRASO_1_30,2,False
156,1260,EP,22378.93,26,0.008,988,2023-04-09,QUITADO,0,False
157,1574,CC,5402.43,9,0.0355,530,2024-01-03,ATIVO,0,False
158,534,FV,15787.88,42,0.0312,649,2023-04-14,ATRASO_1_30,1,False
159,661,CC,1644.2,13,0.0234,488,2021-06-30,ATRASO_1_30,2,False
160,2734,CG,33939.34,9,0.0325,524,2022-01-23,ATRASO_1_30,2,False
161,1713,CC,4722.5,9,0.008,962,2025-12-13,ATIVO,0,False
162,218,CG,46295.06,10,0.0302,760,2025-05-20,ATRASO_1_30,3,False
163,4195,CC,2023.57,11,0.0372,636,2025-02-20,ATRASO_1_30,7,False
164,1218,FV,33344.35,45,0.0164,678,2019-12-27,ATRASO_1_30,5,False
165,214,CC,7489.51,11,0.0316,591,2020-03-07,ATRASO_1_30,1,False
166,292,EP,11432.39,25,0.0555,613,2020-08-28,QUITADO,0,False
167,2032,CC,1184.01,10,0.0405,381,2020-11-28,ATRASO_1_30,24,False
168,2653,FV,18618.39,50,0.025,650,2022-01-21,ATRASO_1_30,1,False
169,642,EP,7395.82,21,0.0275,619,2025-09-19,ATIVO,0,False
170,1764,CC,3792.99,11,0.0423,489,2021-10-14,ATRASO_1_30,21,False
171,1738,CS,26319.36,52,0.0317,705,2021-10-01,ATRASO_31_90,37,True
172,416,CS,11927.38,38,0.0395,655,2023-01-31,ATRASO_1_30,12,False
173,3251,CC,4836.97,12,0.0181,633,2022-09-14,ATRASO_1_30,8,True
174,1772,CS,3230.35,72,0.0431,482,2019-10-09,ATRASO_31_90,34,True
175,3506,CS,9453.46,63,0.0198,722,2024-09-15,ATRASO_1_30,2,False
176,4,CC,5323.27,9,0.0306,490,2020-01-11,ATRASO_1_30,4,False
177,170,FV,108684.3,35,0.0274,502,2018-07-16,ATRASO_1_30,3,False
178,4128,EP,3581.05,28,0.0384,519,2023-06-19,ATRASO_1_30,3,False
179,1630,EP,7217.15,26,0.0287,497,2021-01-28,ATRASO_31_90,32,True
180,1819,FV,12162.69,49,0.0395,619,2026-01-01,QUITADO,0,False
181,2091,FV,30970.29,56,0.0247,616,2025-06-17,ATRASO_1_30,4,False
182,3330,EP,14946.09,27,0.0468,399,2024-03-15,ATRASO_1_30,5,False
183,3560,FV,60899.51,49,0.0292,619,2022-01-01,ATRASO_1_30,8,True
184,3544,EP,7769.31,30,0.0113,764,2023-12-15,ATIVO,0,False
185,4365,CS,10276.44,80,0.0204,613,2024-03-20,ATRASO_1_30,13,False
186,2775,CC,16664.0,15,0.028,705,2021-08-20,ATRASO_1_30,5,False
187,1257,FV,30711.49,55,0.008,831,2021-01-13,ATRASO_1_30,6,False
188,2945,CD,1077.78,6,0.037,385,2019-10-20,ATRASO_1_30,4,False
189,1458,CC,2495.44,12,0.031,448,2018-11-27,ATRASO_1_30,16,False
190,2144,CC,1449.91,13,0.019,681,2023-08-29,ATRASO_1_30,9,False
191,140,EP,10404.98,21,0.0405,450,2025-10-24,ATRASO_1_30,6,False
192,2038,EP,11799.55,23,0.0424,522,2024-08-04,ATRASO_1_30,6,False
193,2998,CG,72206.88,10,0.0388,457,2026-05-31,ATRASO_1_30,8,False
194,1530,CG,79527.01,11,0.0106,755,2020-05-24,ATRASO_1_30,6,True
195,546,CS,8386.56,50,0.0357,460,2026-04-15,ATIVO,0,False
196,357,CD,1357.88,5,0.0395,431,2018-09-07,ATRASO_1_30,12,True
197,593,EP,15953.59,22,0.0223,674,2024-05-04,ATRASO_1_30,10,False
198,1748,CS,9042.68,72,0.029,559,2026-02-01,ATRASO_1_30,12,False
199,4977,EP,5705.6,29,0.0225,617,2022-05-30,ATRASO_1_30,7,False
200,2313,FV,63521.78,53,0.0349,622,2025-08-26,QUITADO,0,False
201,4546,CS,7436.27,42,0.0257,452,2020-11-06,ATRASO_31_90,35,False
202,669,FV,17598.76,53,0.0187,670,2025-07-08,ATRASO_1_30,9,False
203,4857,EP,4257.6,28,0.0263,473,2020-04-28,ATRASO_1_30,14,False
204,4541,CG,252797.71,11,0.0416,422,2021-01-29,ATRASO_31_90,37,False
205,437,FV,63974.3,55,0.0257,443,2022-11-30,ATRASO_1_30,3,False
206,42,CG,72546.51,14,0.008,955,2021-12-05,ATRASO_1_30,1,False
207,3217,CC,1991.15,8,0.0224,629,2021-01-17,ATRASO_31_90,50,False
208,1119,CC,4717.72,14,0.0129,885,2019-12-30,ATRASO_1_30,2,False
209,3206,CG,138121.86,11,0.0359,381,2025-01-01,QUITADO,0,False
210,3400,CS,14897.16,43,0.0178,777,2023-11-06,ATRASO_1_30,5,False
211,319,EP,4118.91,24,0.0177,524,2025-01-12,ATRASO_1_30,3,False
212,4118,CC,4821.4,11,0.0322,622,2026-02-10,ATIVO,0,False
213,4333,EP,7265.28,28,0.0393,412,2026-02-15,ATRASO_1_30,3,False
214,2369,CG,54277.34,13,0.0217,741,2019-02-09,QUITADO,0,False
215,4653,CC,1960.26,13,0.008,787,2021-04-13,ATRASO_1_30,22,False
216,2944,EP,5064.21,20,0.0227,670,2023-02-24,ATIVO,0,False
217,3653,EP,6023.49,22,0.0152,738,2019-10-06,ATRASO_1_30,7,False
218,1366,EP,5015.89,22,0.0243,516,2022-01-31,ATRASO_1_30,23,False
219,3164,CC,3378.14,13,0.0305,491,2019-03-27,ATRASO_1_30,8,False
220,4772,CD,995.16,7,0.0321,672,2018-03-23,ATRASO_1_30,10,True
221,3880,CD,4004.95,6,0.0435,559,2025-03-20,ATRASO_1_30,1,False
222,3221,CC,4700.85,10,0.0357,622,2020-12-14,ATRASO_31_90,31,False
223,2031,CG,78801.03,10,0.0272,493,2024-06-01,ATRASO_1_30,9,False
224,658,CS,11039.5,64,0.0481,426,2025-02-22,ATRASO_1_30,12,False
225,1713,CS,3602.98,73,0.021,910,2021-06-18,ATRASO_1_30,2,False
226,3683,EP,13237.43,23,0.0261,647,2020-03-31,ATRASO_1_30,7,False
227,2634,CS,11236.3,68,0.0173,484,2021-01-01,ATRASO_1_30,19,False
228,639,CD,1925.88,4,0.0143,712,2026-04-24,ATRASO_1_30,5,False
229,1176,CS,11497.52,53,0.008,754,2022-09-29,ATRASO_1_30,2,False
230,2017,CC,920.14,13,0.0269,545,2024-09-04,ATRASO_1_30,2,False
231,231,EP,6179.27,12,0.0248,613,2026-03-09,ATRASO_1_30,6,False
232,2457,CC,2131.71,14,0.0193,472,2020-03-15,ATIVO,0,False
233,4569,FV,39643.29,51,0.0225,816,2024-07-05,ATRASO_1_30,3,False
234,3613,EP,10531.58,24,0.0224,774,2019-03-13,ATRASO_1_30,8,True
235,4681,CC,12750.55,7,0.0249,291,2018-03-01,ATRASO_1_30,22,False
236,4982,CS,15878.18,71,0.0311,599,2019-11-16,ATRASO_1_30,10,False
237,271,CG,35722.65,16,0.0119,606,2025-06-25,ATRASO_1_30,2,False
238,1858,CS,9310.53,57,0.0373,721,2024-09-19,ATIVO,0,False
239,1010,FV,47691.61,43,0.0218,536,2025-02-26,ATRASO_1_30,12,True
240,3379,EP,13281.46,22,0.0275,467,2020-01-23,QUITADO,0,False
241,176,FV,16575.08,55,0.0182,710,2018-09-24,QUITADO,0,False
242,3362,CS,10345.08,72,0.0323,529,2020-08-15,QUITADO,0,False
243,1932,CC,3189.6,13,0.008,925,2023-12-26,ATRASO_1_30,2,False
244,921,CG,18967.29,11,0.0081,693,2019-01-18,ATRASO_1_30,4,False
245,1043,CC,5391.74,14,0.0209,751,2019-02-04,ATRASO_1_30,1,False
246,3215,FV,40061.37,37,0.0215,584,2023-11-23,ATRASO_1_30,18,False
247,2371,CS,10666.06,74,0.0291,463,2018-12-13,ATRASO_1_30,27,True
248,4398,CG,57863.71,15,0.0386,610,2021-12-21,ATRASO_1_30,15,False
249,4892,CC,5179.8,11,0.0236,563,2018-04-09,ATRASO_1_30,5,True
250,2779,CC,11169.33,16,0.0326,464,2024-03-22,ATRASO_1_30,6,True
251,3444,CG,74062.53,14,0.0288,608,2018-10-15,ATRASO_1_30,2,False
252,2399,CC,1760.77,12,0.0393,427,2020-11-22,ATRASO_1_30,10,False
253,1961,EP,43443.97,22,0.0309,614,2022-08-03,ATRASO_1_30,1,False
254,3238,CC,1784.86,13,0.008,683,2025-05-31,QUITADO,0,False
255,65,FV,44220.04,41,0.0323,418,2023-05-30,ATRASO_1_30,4,True
256,4035,CS,10599.15,77,0.008,910,2021-09-26,ATRASO_1_30,8,False
257,3423,EP,7450.98,21,0.023,479,2021-09-07,ATRASO_1_30,10,False
258,1127,FV,43941.51,71,0.0236,457,2022-12-09,ATRASO_1_30,5,False
259,19,FV,45988.25,50,0.0328,686,2019-01-04,ATRASO_1_30,4,False
260,816,FV,80124.31,35,0.0265,697,2022-01-09,QUITADO,0,False
261,3509,EP,5389.73,30,0.008,915,2023-12-29,ATRASO_1_30,1,False
262,3257,CS,15252.31,55,0.0336,521,2018-05-04,ATRASO_1_30,10,True
263,3327,CS,17280.39,37,0.031,759,2024-06-17,QUITADO,0,False
264,173,EP,32834.24,33,0.0335,557,2019-01-13,ATRASO_1_30,7,False
265,82,CS,16194.99,92,0.0394,570,2019-10-12,ATRASO_1_30,1,False
266,4127,FV,17552.36,53,0.0236,719,2021-05-08,QUITADO,0,False
267,2275,CC,7983.82,13,0.0352,555,2020-02-10,ATIVO,0,False
268,1511,CS,9197.98,65,0.0297,537,2018-02-24,ATRASO_1_30,4,False
269,397,EP,4772.21,26,0.0286,697,2024-02-25,ATRASO_1_30,3,True
270,555,CC,7757.62,11,0.0463,501,2026-04-09,ATRASO_1_30,10,False
271,3701,CG,54139.31,11,0.0302,573,2019-03-06,ATRASO_1_30,6,False
272,3824,EP,7097.97,23,0.0092,744,2023-12-27,ATRASO_1_30,5,True
273,1409,CG,137492.0,12,0.025,688,2018-12-30,ATRASO_1_30,1,False
274,1115,FV,25732.72,36,0.0211,729,2023-12-30,ATRASO_1_30,17,False
275,1504,EP,5856.29,28,0.0256,719,2024-07-10,QUITADO,0,False
276,2008,EP,10776.62,24,0.0245,597,2018-07-13,ATIVO,0,False
277,4243,EP,2065.2,27,0.0261,653,2025-09-17,QUITADO,0,False
278,2070,CS,13217.99,66,0.0359,514,2024-03-30,ATRASO_1_30,7,False
279,3860,EP,8390.94,13,0.0164,681,2021-10-07,ATRASO_1_30,12,False
280,4102,FV,20969.59,52,0.0312,572,2020-12-21,ATRASO_1_30,22,False
281,2985,CG,49489.94,13,0.0417,387,2025-01-26,ATRASO_1_30,11,False
282,1323,CG,58420.66,9,0.0145,490,2023-06-22,ATRASO_31_90,34,False
283,4934,CS,11692.23,60,0.0387,360,2020-02-20,ATRASO_1_30,1,False
284,3166,CC,5711.8,11,0.0214,548,2022-06-28,ATRASO_1_30,7,False
285,3470,EP,9406.23,25,0.0428,441,2025-08-06,ATRASO_1_30,18,False
286,4994,CC,3161.78,11,0.0329,411,2021-04-25,QUITADO,0,True
287,3056,CC,5331.36,7,0.0374,295,2025-07-16,ATRASO_1_30,19,False
288,2997,CD,1762.09,4,0.0383,483,2026-04-04,ATRASO_1_30,1,False
289,4146,CS,72657.1,67,0.008,733,2018-10-21,ATRASO_1_30,14,False
290,705,CC,6467.14,13,0.0088,754,2024-10-07,ATRASO_1_30,1,False
291,4816,CC,2547.38,17,0.0269,826,2018-09-20,ATRASO_1_30,2,False
292,1417,EP,2851.38,24,0.0272,549,2021-07-18,ATRASO_1_30,12,False
293,4849,CC,2330.27,7,0.008,801,2018-01-22,ATRASO_1_30,13,False
294,2676,EP,2349.43,31,0.0155,737,2025-06-21,ATRASO_1_30,14,False
295,4402,CS,17884.68,72,0.008,773,2018-06-21,QUITADO,0,False
296,1612,CC,2939.38,10,0.013,726,2021-03-01,QUITADO,0,False
297,3795,FV,22068.46,56,0.0217,628,2020-09-08,ATRASO_1_30,11,False
298,2583,EP,11452.81,25,0.0484,483,2019-03-30,ATIVO,0,False
299,3234,CC,2804.28,9,0.0105,732,2019-09-22,ATRASO_1_30,2,False
300,2717,CC,4433.68,12,0.0328,265,2019-06-23,QUITADO,0,False
301,4933,EP,6819.26,21,0.0304,439,2021-09-02,ATRASO_1_30,6,True
302,3678,EP,8377.99,17,0.0285,550,2022-03-10,ATRASO_1_30,4,True
303,1260,FV,75910.11,46,0.008,915,2021-10-24,QUITADO,0,False
304,3115,FV,60600.5,54,0.0205,694,2019-12-12,ATRASO_1_30,6,True
305,1831,FV,82690.24,47,0.0418,558,2021-03-16,QUITADO,0,False
306,3490,CG,61471.68,10,0.0094,779,2020-06-27,QUITADO,0,False
307,2397,CD,506.42,6,0.0255,605,2022-09-12,ATRASO_1_30,7,False
308,1092,CS,7958.72,57,0.0419,490,2021-12-14,ATRASO_1_30,3,True
309,1119,EP,3034.94,19,0.0257,944,2019-08-12,ATRASO_1_30,2,False
310,2117,CC,6073.5,12,0.0278,631,2018-07-31,ATRASO_1_30,2,False
311,2413,CS,12111.36,57,0.0088,710,2022-03-23,QUITADO,0,False
312,4126,CG,106452.1,16,0.0332,626,2022-08-15,ATRASO_1_30,1,False
313,3192,CG,93200.75,14,0.0376,543,2024-07-06,ATRASO_1_30,15,True
314,3762,FV,32455.23,56,0.035,540,2021-05-06,QUITADO,0,False
315,745,CS,34205.53,39,0.0193,665,2018-10-18,ATRASO_1_30,16,False
316,911,EP,14225.32,27,0.017,702,2020-12-18,ATRASO_1_30,5,False
317,185,CC,3675.28,14,0.0315,584,2021-11-05,ATIVO,0,False
318,320,EP,10384.88,16,0.0295,627,2019-06-17,ATRASO_1_30,25,False
319,731,EP,18686.2,20,0.0374,584,2025-12-07,ATRASO_1_30,11,False
320,3266,CS,15696.69,51,0.0335,404,2025-11-27,ATIVO,0,False
321,2285,EP,5364.55,29,0.0354,512,2024-01-29,ATRASO_1_30,28,True
322,2221,CS,5923.77,74,0.025,421,2018-07-18,QUITADO,0,False
323,3698,CS,10238.23,51,0.0458,440,2018-05-11,ATRASO_31_90,42,False
324,2053,CG,33233.58,9,0.0466,496,2024-07-16,ATRASO_1_30,6,False
325,33,CD,1695.5,3,0.0325,449,2022-03-09,ATRASO_1_30,1,False
326,126,CS,8809.1,40,0.008,754,2024-06-05,ATRASO_1_30,4,False
327,898,FV,27805.24,41,0.0414,526,2026-02-20,ATIVO,0,False
328,1909,CS,24840.39,52,0.0339,791,2024-05-27,ATRASO_1_30,4,False
329,4414,EP,21606.9,23,0.0237,619,2020-10-28,QUITADO,0,True
330,894,CS,7526.71,67,0.0157,784,2021-01-18,QUITADO,0,False
331,3675,CG,40307.53,12,0.0287,477,2020-02-29,ATRASO_1_30,2,False
332,172,CC,3049.07,10,0.0263,584,2024-09-11,QUITADO,0,False
